Player,P,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,Team
"Smith, J",P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OCE_STA6
"Wentworth, J",RF,0.0,5,10,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,OCE_STA6
"Weaver, J",P,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,OCE_STA6
Total:,,0.248,42,1394,237,346,71,3,29,205,217,50,422,15,2,85,22,18,57,OCE_STA6
"Barczi, C",C,0.387,25,75,17,29,6,1,3,18,14,4,18,2,0,0,0,0,2,SAN_MAI
"Bade, D",3B,0.358,36,134,28,48,8,1,6,30,10,3,28,3,0,8,0,2,6,SAN_MAI
"Willis, C",OF,0.325,37,120,31,39,12,1,4,26,31,2,19,3,0,19,2,0,2,SAN_MAI
"Sullivan, E",C,0.318,12,44,6,14,4,0,1,13,3,2,2,0,0,3,0,1,2,SAN_MAI
"Shpur, C",CF,0.29,19,69,20,20,2,1,1,4,14,1,7,1,0,31,1,5,1,SAN_MAI
"Tucker, J",CF,0.282,22,85,21,24,4,1,0,10,8,4,12,0,0,18,2,1,1,SAN_MAI
"Davis, J",SS,0.271,40,155,21,42,3,1,1,12,12,2,29,3,2,31,5,2,9,SAN_MAI
"Velazquez, R",3B,0.244,34,123,17,30,4,0,6,22,16,1,42,1,0,4,3,2,5,SAN_MAI
"Hernandez, M",SS,0.225,24,71,10,16,3,0,0,10,10,6,29,1,0,6,1,1,6,SAN_MAI
"Schaaf, B",SS,0.208,24,77,20,16,3,0,0,9,21,3,31,1,0,12,2,1,2,SAN_MAI
"Toomey, J",OF,0.205,11,39,4,8,2,0,1,7,8,2,10,0,0,2,0,0,0,SAN_MAI
"Travisano, M",SS,0.2,14,50,1,10,0,0,0,4,3,1,17,0,0,2,0,2,5,SAN_MAI
"Lanowitz, C",IF,0.185,28,81,8,15,2,0,0,9,7,2,9,1,1,1,0,2,2,SAN_MAI
"x Barksdale, N",OF,0.167,9,24,2,4,0,0,0,2,2,3,7,0,0,0,0,0,0,SAN_MAI
"Miceli, M",SS,0.165,29,91,11,15,2,1,0,9,15,2,15,1,1,2,1,3,9,SAN_MAI
"Kodali, D",CF,0.164,22,61,8,10,1,1,0,7,8,3,33,0,0,2,0,0,0,SAN_MAI
"Burgos, J",IF,0.154,10,26,6,4,1,0,2,8,8,0,6,1,0,3,1,2,1,SAN_MAI
"Curtis, J",1B,0.143,5,14,1,2,0,0,0,0,3,1,5,0,0,0,0,0,0,SAN_MAI
"Kolben, R",C,0.13,16,46,2,6,1,0,0,4,10,3,21,0,0,0,0,1,2,SAN_MAI
"x Cottam, K",C,0.125,5,16,0,2,0,0,0,0,2,0,7,0,0,0,0,0,0,SAN_MAI
"x Russell, D",C,0.1,4,10,1,1,1,0,0,0,1,0,7,0,0,0,0,0,0,SAN_MAI
Total:,,0.252,44,1411,235,355,59,8,25,204,206,45,354,18,4,144,18,25,55,SAN_MAI
"x Purcell, J",P,0.5,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,UPP_VAL
"Tamburro, N",P,0.5,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,UPP_VAL
"x Venditti, V",CF,0.333,1,3,1,1,0,0,0,2,1,0,1,1,0,0,0,0,1,UPP_VAL
"Frehner, P",IF,0.318,8,22,5,7,1,0,1,3,4,5,7,0,0,0,0,1,0,UPP_VAL
"Fellows, C",OF,0.308,40,143,21,44,9,3,0,23,19,0,35,3,0,2,1,1,2,UPP_VAL
"Pacheco, D",OF,0.3,33,110,23,33,7,0,9,25,20,6,29,2,0,0,1,2,1,UPP_VAL
"Christman, T",2B,0.291,28,117,24,34,10,0,2,17,9,3,25,1,0,3,0,5,2,UPP_VAL
"Quagliato, N",C,0.28,24,82,11,23,3,1,1,11,7,2,19,0,0,1,1,2,4,UPP_VAL
"Johnson, G",C,0.28,8,25,4,7,0,0,1,2,6,0,6,0,0,1,0,2,0,UPP_VAL
"x Ballard, M",SS,0.278,9,36,4,10,2,0,0,4,3,1,7,1,0,1,1,1,0,UPP_VAL
"x Keys, J",C,0.276,9,29,7,8,1,1,0,1,7,2,7,0,0,1,0,1,3,UPP_VAL
"x Lizama, E",RF,0.274,18,62,7,17,5,0,2,8,6,3,13,1,0,1,1,2,3,UPP_VAL
"x Ali, M",IF,0.25,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,UPP_VAL
"Genth, H",IF,0.25,11,28,8,7,3,0,1,3,8,1,8,0,0,8,1,2,7,UPP_VAL
"Frei, G",3B,0.246,39,138,23,34,7,3,3,24,17,5,26,2,0,0,0,1,11,UPP_VAL
"Trommer, M",IF,0.244,33,123,22,30,5,1,3,15,19,4,35,1,1,2,0,0,4,UPP_VAL
"Blaser, B",OF,0.213,29,94,11,20,2,0,0,10,19,2,28,3,1,2,0,4,0,UPP_VAL
"Baillargeon, C",1B,0.206,31,97,17,20,5,0,1,11,14,6,29,0,0,0,0,5,3,UPP_VAL
"x Thompson, M",SS,0.205,15,44,11,9,2,1,0,6,13,0,13,1,0,3,0,2,8,UPP_VAL
"Zeisloft, L",OF,0.204,24,54,11,11,0,0,0,2,10,4,21,1,0,1,1,2,1,UPP_VAL
"Reyes, L",CF,0.2,13,50,7,10,1,0,2,12,5,1,15,0,0,0,0,1,0,UPP_VAL
"Malzone, A",C,0.2,2,5,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,UPP_VAL
