Player,P,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,Team
"x Worcester, C",SS,0.185,8,27,2,5,0,0,0,2,1,2,6,1,0,0,1,0,1,UPP_VAL
"x Petrich, O",3B,0.162,9,37,2,6,2,0,0,3,2,0,6,0,0,0,0,3,2,UPP_VAL
"Craigue, B",IF,0.143,9,21,6,3,0,0,0,3,5,2,6,0,0,2,0,1,1,UPP_VAL
"x Jagiela, C",C,0.118,6,17,0,2,0,0,0,0,1,2,7,0,0,0,0,1,1,UPP_VAL
"x Kovalchik, Z",OF,0.0,2,10,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,UPP_VAL
"x Applegate, C",P,0.0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,UPP_VAL
Total:,,0.249,43,1385,229,345,65,10,26,188,199,51,360,18,2,28,8,40,55,UPP_VAL
"Hindle, W",2B,0.417,6,24,3,10,1,0,0,6,0,0,3,0,0,1,0,1,4,VAL_BLU
"Cunningham, K",SS,0.333,6,24,5,8,2,0,0,3,2,1,2,1,0,1,0,1,0,VAL_BLU
"Wertz, A",P,0.333,1,3,0,1,0,0,0,1,2,0,1,0,0,1,0,1,0,VAL_BLU
"x Sutherland, C",3B,0.333,2,6,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,VAL_BLU
"Moore, Z",3B,0.31,8,29,7,9,2,0,0,5,5,0,8,0,1,5,0,1,4,VAL_BLU
"O’Conor, M",3B,0.304,32,115,27,35,10,1,5,21,17,5,33,2,1,4,0,2,9,VAL_BLU
"Bant, J",1B,0.292,25,89,15,26,1,0,3,18,15,7,14,1,0,0,0,4,2,VAL_BLU
"Ritchie, K",3B,0.292,7,24,8,7,3,0,1,6,6,1,7,0,0,1,0,1,0,VAL_BLU
"Hogart, J",OF,0.287,42,136,38,39,11,0,7,35,31,11,37,8,1,9,2,0,2,VAL_BLU
"x Estrella, A",SS,0.284,20,67,11,19,7,0,2,5,3,2,22,0,0,1,1,1,6,VAL_BLU
"Williams, D",OF,0.28,8,25,3,7,1,0,1,6,3,1,6,1,0,1,0,0,0,VAL_BLU
"Manning, L",C,0.276,13,29,8,8,1,1,0,6,14,6,10,0,0,4,1,1,3,VAL_BLU
"Hugo, L",CF,0.266,43,169,30,45,7,0,2,14,22,14,39,1,0,27,9,5,3,VAL_BLU
"x Misch, C",1B,0.263,11,38,9,10,2,0,2,8,5,3,12,0,0,0,0,0,0,VAL_BLU
"Militello, J",C,0.261,9,23,2,6,1,0,0,2,5,0,13,0,0,0,0,0,1,VAL_BLU
"Ettinger, E",SS,0.261,7,23,4,6,0,0,0,2,3,1,6,0,0,3,0,0,2,VAL_BLU
"Larson, C",IF,0.26,18,50,7,13,1,1,0,9,7,4,14,1,0,4,0,0,3,VAL_BLU
"Henington, K",CF,0.215,33,93,17,20,3,1,0,12,24,1,27,1,3,17,0,2,0,VAL_BLU
"Scarabino, A",OF,0.2,8,25,2,5,2,0,0,6,9,0,4,1,0,0,0,2,0,VAL_BLU
"Vidal, A",IF,0.187,32,107,12,20,2,0,1,11,15,8,41,0,2,5,2,1,14,VAL_BLU
"x Swain, C",SS,0.167,3,12,1,2,0,0,0,0,0,0,5,0,0,1,0,0,2,VAL_BLU
"x Jans, C",OF,0.15,18,60,11,9,2,0,0,8,9,3,14,1,0,5,0,1,0,VAL_BLU
"Toth, M",C,0.148,25,81,16,12,1,1,0,10,13,3,31,0,0,4,0,0,10,VAL_BLU
"x Ferrentino, F",C,0.139,10,36,0,5,1,0,0,5,0,0,6,0,0,0,0,0,1,VAL_BLU
"Perez, E",IF,0.125,4,8,0,1,0,0,0,0,1,0,5,0,0,0,1,0,0,VAL_BLU
"x Basseer, J",OF,0.109,17,55,2,6,1,0,1,4,5,0,11,0,0,0,0,4,2,VAL_BLU
"x Butler, J",1B,0.103,9,29,2,3,1,0,1,4,2,3,10,0,0,0,0,1,0,VAL_BLU
"Toth, R",IF,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAL_BLU
Total:,,0.242,43,1381,241,334,64,5,26,207,219,74,382,18,8,94,16,29,68,VAL_BLU
"x Jensen, M",1B,0.386,22,88,24,34,10,2,3,23,9,2,15,3,0,4,0,2,2,VER_MOU
"Ganus, T",OF,0.368,20,57,17,21,4,0,0,6,14,1,10,0,2,8,0,2,0,VER_MOU
"Luetzow, J",C,0.366,14,41,17,15,0,0,0,2,7,3,5,0,0,4,1,1,0,VER_MOU
"x Martinez, C",OF,0.326,27,92,11,30,5,0,3,20,15,1,21,0,0,5,0,1,0,VER_MOU
"Ragsdale, J",CF,0.323,35,127,31,41,2,1,3,16,29,3,29,2,0,24,5,0,3,VER_MOU
"x Meguiar, B",2B,0.314,12,35,6,11,2,0,0,7,3,2,8,1,0,2,0,0,2,VER_MOU
"x Angelo, S",1B,0.313,14,48,14,15,3,1,4,17,11,2,17,2,0,3,1,0,2,VER_MOU
"x Notarangelo, N",OF,0.302,22,63,12,19,4,1,1,18,7,4,16,2,0,3,0,1,0,VER_MOU
"Bauerle, P",3B,0.286,10,28,5,8,1,0,1,4,4,0,6,1,0,1,0,2,1,VER_MOU
"Bishop, C",SS,0.277,35,112,15,31,5,0,0,13,11,2,30,1,0,7,4,1,6,VER_MOU
"Cox, T",SS,0.276,19,58,18,16,0,0,2,11,14,3,14,1,1,11,2,0,6,VER_MOU
"x Norton, B",2B,0.275,21,80,13,22,2,1,2,18,5,2,21,0,0,1,0,1,4,VER_MOU
"Jefferson, D",CF,0.259,25,81,20,21,4,1,1,16,15,3,20,1,0,22,4,0,1,VER_MOU
"x Santerre, C",CF,0.25,17,44,13,11,1,1,1,6,11,3,11,2,1,7,3,0,1,VER_MOU
"Root, B",OF,0.247,29,93,18,23,1,4,2,16,18,0,17,0,0,9,0,1,2,VER_MOU
"Hyde, B",OF,0.242,13,33,7,8,1,1,1,7,4,1,8,0,0,1,1,0,2,VER_MOU
"Waugh, N",C,0.242,20,62,12,15,3,0,3,12,9,1,24,1,0,0,1,1,0,VER_MOU
"x Manning, L",C,0.238,6,21,3,5,1,0,0,3,1,0,6,0,0,3,0,0,0,VER_MOU
"Sanchez, J",IF,0.234,26,64,13,15,3,0,0,5,13,4,10,0,0,1,0,3,3,VER_MOU
"x Cavossa, S",C,0.2,2,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,VER_MOU
"Dux, S",C,0.2,3,5,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,VER_MOU
"x Jaun, W",P,0.2,2,5,0,1,0,0,0,1,2,1,1,0,0,0,1,1,1,VER_MOU
"Mannelly, A",LF,0.175,15,40,7,7,1,0,1,8,5,3,12,0,1,1,2,2,1,VER_MOU
"Knox, J",SS,0.153,22,59,12,9,2,0,1,8,12,2,21,2,0,8,1,0,3,VER_MOU
"Wright, A",C,0.053,8,19,3,1,1,0,0,4,5,3,0,1,1,0,0,0,1,VER_MOU
"Chae, Y",SS,0.0,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,VER_MOU
Total:,,0.28,41,1362,292,381,57,13,29,241,225,47,328,20,6,125,26,19,43,VER_MOU
