"Rk","Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Notes","Team","Year"
5,"Will Cook",22,84,73,16,15,4,1,2,7,0,0,9,24,0.206,0.298,0.37,0.668,27,NA,1,0,1,1,NA,"e3949acc",2023
6,"Jakobi Davis",27,90,79,15,18,3,0,0,6,6,1,10,22,0.228,0.315,0.266,0.58,21,NA,0,1,0,0,NA,"e3949acc",2023
7,"Roman DiGiacomo",18,58,55,6,11,1,0,2,8,0,0,1,11,0.2,0.224,0.327,0.551,18,NA,1,0,1,0,NA,"e3949acc",2023
8,"Harrison Feinberg",38,145,115,18,26,6,1,4,14,2,1,22,38,0.226,0.379,0.4,0.779,46,NA,7,0,1,1,NA,"e3949acc",2023
9,"Billy Gerlott",32,120,100,19,21,5,0,4,17,2,2,14,28,0.21,0.333,0.38,0.713,38,NA,5,0,1,0,NA,"e3949acc",2023
10,"Javon Hernandez",30,124,108,25,35,5,1,4,20,8,5,11,17,0.324,0.395,0.5,0.895,54,NA,3,0,2,0,NA,"e3949acc",2023
11,"Aidan Jolley",20,67,59,5,15,6,0,0,2,0,0,7,14,0.254,0.343,0.356,0.699,21,NA,1,0,0,0,NA,"e3949acc",2023
12,"Daniel Labrador",22,75,65,12,18,5,0,2,8,0,0,6,17,0.277,0.36,0.446,0.806,29,NA,3,0,1,0,NA,"e3949acc",2023
13,"Hayden Miller",23,78,64,16,16,5,1,1,6,4,1,13,21,0.25,0.385,0.406,0.791,26,NA,1,0,0,0,NA,"e3949acc",2023
14,"Sam Mongelli",6,27,25,3,11,1,0,1,4,3,0,2,1,0.44,0.482,0.6,1.082,15,NA,0,0,0,0,NA,"e3949acc",2023
15,"Collin Quintano",5,16,13,1,1,0,0,0,0,0,0,2,5,0.077,0.25,0.077,0.327,1,NA,1,0,0,0,NA,"e3949acc",2023
16,"Joey Rubin",8,29,24,2,4,0,0,0,1,1,2,3,8,0.167,0.25,0.167,0.417,4,NA,0,1,1,0,NA,"e3949acc",2023
17,"Matt Ruiz",8,35,31,9,11,3,0,1,8,4,1,3,8,0.355,0.4,0.548,0.948,17,NA,0,0,1,0,NA,"e3949acc",2023
18,"Gabe Silva",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,0,0,0,NA,"e3949acc",2023
19,"Joey Skarad",11,34,29,4,5,0,0,2,4,0,0,5,12,0.172,0.294,0.379,0.673,11,NA,0,0,0,0,NA,"e3949acc",2023
20,"Anthony Steele",23,45,39,8,7,2,0,3,6,0,0,6,13,0.18,0.289,0.462,0.75,18,NA,0,0,0,0,NA,"e3949acc",2023
21,"Mike Talavera",10,34,29,1,4,1,0,0,3,3,0,3,10,0.138,0.219,0.172,0.391,5,NA,0,2,0,0,NA,"e3949acc",2023
22,"Julian Uejima",1,3,2,2,0,0,0,0,0,1,0,1,0,0,0.333,0,0.333,0,NA,0,0,0,0,NA,"e3949acc",2023
23,"Drew Wyers",31,106,91,8,23,5,0,0,9,5,1,10,19,0.253,0.337,0.308,0.644,28,NA,2,2,1,0,NA,"e3949acc",2023
24,"Bobby Zmarzlak",29,116,104,17,30,5,1,10,25,1,0,9,37,0.289,0.362,0.644,1.006,67,NA,3,0,0,1,NA,"e3949acc",2023
1,"Mike Becchetti",17,75,61,12,13,3,0,3,16,2,0,11,16,0.213,0.324,0.41,0.734,25,NA,0,1,2,0,NA,"38fd8778",2022
2,"Colby Canales",15,58,54,5,10,1,1,1,5,0,0,3,22,0.185,0.224,0.296,0.52,16,NA,0,0,1,0,NA,"38fd8778",2022
3,"Harrison Feinberg",29,117,99,18,26,3,1,6,14,3,1,15,33,0.263,0.359,0.495,0.854,49,NA,1,0,2,0,NA,"38fd8778",2022
4,"Billy Gerlott",34,128,116,22,30,8,0,2,11,2,2,8,27,0.259,0.328,0.379,0.707,44,NA,4,0,0,0,NA,"38fd8778",2022
5,"Jake Hyde",11,45,42,5,13,2,0,1,3,0,0,2,14,0.31,0.356,0.429,0.784,18,NA,1,0,0,0,NA,"38fd8778",2022
6,"Dayvin Johnson",9,25,21,1,2,0,0,0,0,1,0,3,10,0.095,0.24,0.095,0.335,2,NA,1,0,0,0,NA,"38fd8778",2022
7,"Jett Lovett",20,87,72,14,23,9,0,1,9,3,2,15,18,0.319,0.437,0.486,0.923,35,NA,0,0,0,0,NA,"38fd8778",2022
8,"Alec Maag",5,19,17,2,3,1,0,0,0,0,0,2,8,0.177,0.263,0.235,0.499,4,NA,0,0,0,0,NA,"38fd8778",2022
9,"Sam Mongelli",33,141,119,16,37,5,2,2,14,2,2,18,18,0.311,0.404,0.437,0.841,52,NA,2,0,2,1,NA,"38fd8778",2022
10,"Korey Morton",24,107,94,19,27,3,0,7,21,3,2,8,27,0.287,0.355,0.543,0.898,51,NA,3,0,2,0,NA,"38fd8778",2022
11,"Danniel Rivera",14,57,42,12,7,2,0,2,6,3,0,11,11,0.167,0.357,0.357,0.714,15,NA,2,1,1,0,NA,"38fd8778",2022
12,"Nick Romano",37,158,131,15,31,7,0,4,13,1,2,27,42,0.237,0.367,0.382,0.749,50,NA,0,0,0,0,NA,"38fd8778",2022
13,"Aries Samek",1,4,3,1,1,0,0,0,2,0,0,0,2,0.333,0.5,0.333,0.833,1,NA,1,0,0,0,NA,"38fd8778",2022
14,"Joey Skarad",26,104,89,14,26,7,0,4,13,3,2,13,32,0.292,0.394,0.506,0.9,45,NA,2,0,0,0,NA,"38fd8778",2022
15,"Alex Stone",20,85,76,11,17,7,0,2,10,0,0,6,16,0.224,0.294,0.395,0.689,30,NA,2,0,1,0,NA,"38fd8778",2022
16,"Henry Strmecki",25,89,78,9,13,2,0,0,5,2,0,9,26,0.167,0.258,0.192,0.451,15,NA,1,0,1,0,NA,"38fd8778",2022
17,"Jackson Taylor",32,125,96,18,25,4,0,1,7,7,3,21,12,0.26,0.423,0.333,0.756,32,NA,6,2,0,0,NA,"38fd8778",2022
18,"Hank Thomas",35,157,133,24,34,4,1,9,33,1,1,20,42,0.256,0.357,0.504,0.861,67,NA,2,0,2,0,NA,"38fd8778",2022
19,"Jermaine White",26,99,82,14,13,3,0,0,5,6,0,14,26,0.159,0.278,0.195,0.474,16,NA,0,2,1,0,NA,"38fd8778",2022
1,"Griffin Arnone",31,71,52,11,7,1,0,2,6,12,2,19,28,0.135,0.366,0.269,0.635,14,NA,0,0,0,0,NA,"11453d72",2023
2,"Ian Battipaglia",33,86,72,13,15,1,1,1,9,9,0,9,29,0.208,0.301,0.292,0.593,21,NA,1,3,1,0,NA,"11453d72",2023
3,"Vince Bianchina",19,59,48,7,7,1,0,0,2,2,0,8,10,0.146,0.281,0.167,0.447,8,NA,1,2,0,0,NA,"11453d72",2023
4,"Dixon Black",26,96,79,12,19,5,0,0,8,0,2,7,23,0.241,0.347,0.304,0.651,24,NA,7,1,2,0,NA,"11453d72",2023
5,"Dom Camera",4,7,7,1,1,1,0,0,1,0,0,0,0,0.143,0.143,0.286,0.429,2,NA,0,0,0,0,NA,"11453d72",2023
6,"Hunter D'Amato",11,23,18,4,3,0,0,0,1,1,0,4,5,0.167,0.348,0.167,0.515,3,NA,1,0,0,0,NA,"11453d72",2023
7,"Ryan Daniels",15,47,37,5,10,3,0,1,8,2,1,9,7,0.27,0.426,0.432,0.858,16,NA,1,0,0,1,NA,"11453d72",2023
8,"Pete Durocher",38,107,97,15,22,3,0,1,8,15,3,6,22,0.227,0.299,0.289,0.588,28,NA,4,0,0,0,NA,"11453d72",2023
9,"Randy Flores",12,30,25,3,4,0,0,0,0,2,1,5,3,0.16,0.3,0.16,0.46,4,NA,0,0,0,0,NA,"11453d72",2023
10,"Tyler Fote",6,18,17,3,6,3,0,0,5,0,0,0,5,0.353,0.389,0.529,0.918,9,NA,1,0,0,0,NA,"11453d72",2023
11,"Connor Goodman",9,23,18,4,4,0,0,0,1,0,0,5,3,0.222,0.391,0.222,0.614,4,NA,0,0,0,0,NA,"11453d72",2023
12,"Kameron Hartenstein",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA,"11453d72",2023
13,"Danny Hussey",31,68,60,13,11,3,0,3,14,7,1,4,20,0.183,0.279,0.383,0.663,23,NA,4,0,0,0,NA,"11453d72",2023
14,"DJ Jackson",14,40,33,3,5,1,0,0,3,1,0,6,19,0.152,0.275,0.182,0.457,6,NA,0,0,1,0,NA,"11453d72",2023
15,"Ali LaPread",12,28,23,1,3,0,0,0,2,1,1,2,7,0.13,0.222,0.13,0.353,3,NA,1,1,1,0,NA,"11453d72",2023
16,"Dre Llopiz",10,27,22,2,2,1,0,0,2,2,1,4,9,0.091,0.222,0.136,0.359,3,NA,0,0,1,0,NA,"11453d72",2023
17,"Cam Maldonado",18,57,45,6,5,0,0,1,1,5,1,12,20,0.111,0.298,0.178,0.476,8,NA,0,0,0,0,NA,"11453d72",2023
18,"Jake Marquez",6,13,12,1,2,1,0,0,1,0,0,1,4,0.167,0.231,0.25,0.481,3,NA,0,0,0,0,NA,"11453d72",2023
19,"Chaz Myers",18,66,50,7,10,2,0,1,3,0,1,10,11,0.2,0.364,0.3,0.664,15,NA,4,0,2,0,NA,"11453d72",2023
20,"Jeff Nicol",4,8,5,1,0,0,0,0,0,0,0,3,2,0,0.375,0,0.375,0,NA,0,0,0,0,NA,"11453d72",2023
21,"Gavin Noriega",41,158,138,21,44,5,3,3,33,13,4,17,23,0.319,0.399,0.464,0.863,64,NA,2,0,1,0,NA,"11453d72",2023
22,"Keegan O'Connor",10,23,19,3,3,0,0,0,0,1,0,3,11,0.158,0.304,0.158,0.462,3,NA,1,0,0,0,NA,"11453d72",2023
23,"Cal Parrillo",35,107,88,8,23,3,0,0,19,1,0,12,15,0.261,0.356,0.296,0.652,26,NA,1,6,0,1,NA,"11453d72",2023
24,"Jordan Peyton",36,109,86,18,27,2,0,0,9,15,1,20,13,0.314,0.44,0.337,0.778,29,NA,1,0,2,0,NA,"11453d72",2023
